alert_id,type_of_alert,status,assigned_to_name,creation_date,resolution_date,impact_level,sla_hours,jurisdiction,category,tax_code,monetary_exposure,has_invoice_linked,order_id,invoice_id
ALRT-13300-19,MISSING_INVOICE,closed,Eva,2025-10-18T19:33:58.818254+00:00,2025-10-20T19:33:58.818254+00:00,high,24,BR-SP,Games,IPI,24754.41,True,O30254,INV-31404
ALRT-60438-20,TAX_JURISDICTION_ERROR,closed,Bruno,2025-10-10T11:33:59.019241+00:00,2025-11-08T11:33:59.019241+00:00,medium,24,BR-RJ,Beauty,IPI,7379.27,True,O47588,
ALRT-60082-21,TAX_JURISDICTION_ERROR,closed,Ana,2025-10-07T12:33:59.219955+00:00,2025-10-10T12:33:59.219955+00:00,low,72,BR-RS,Home,ICMS,5625.56,False,O69355,
ALRT-90703-22,MISSING_INVOICE,open,Eva,2025-10-10T19:33:59.421091+00:00,,medium,48,BR-MG,Electronics,COFINS,30324.66,True,O35974,
ALRT-94169-23,INVOICE_AMOUNT_MISMATCH,closed,Eva,2025-09-29T16:33:59.621775+00:00,2025-10-02T16:33:59.621775+00:00,low,48,BR-RJ,Books,PIS,5678.92,True,O94990,INV-17978
ALRT-69354-24,MISSING_INVOICE,closed,Carla,2025-09-24T03:33:59.822323+00:00,2025-10-16T03:33:59.822323+00:00,high,168,BR-RS,Books,COFINS,34792.67,False,O29206,
ALRT-23383-25,INVOICE_AMOUNT_MISMATCH,open,Ana,2025-09-20T15:34:00.022722+00:00,,low,168,BR-RJ,Books,COFINS,485.21,True,O34639,INV-77113
ALRT-30468-26,MISSING_INVOICE,open,Eva,2025-10-11T15:34:00.223848+00:00,,low,48,BR-RJ,Books,ICMS,28309.06,True,,INV-62561
ALRT-67557-27,INVOICE_AMOUNT_MISMATCH,open,Ana,2025-08-11T15:34:00.424634+00:00,,low,48,BR-PR,Electronics,ICMS,46242.88,True,O19129,INV-30115
ALRT-87385-28,INVOICE_AMOUNT_MISMATCH,in_progress,Diego,2025-07-23T16:34:00.624916+00:00,,low,72,BR-PR,Books,PIS,9995.41,True,O35559,INV-20770
ALRT-79154-29,INVOICE_AMOUNT_MISMATCH,in_progress,Felipe,2025-07-14T22:34:00.825615+00:00,,low,48,BR-SP,Beauty,COFINS,28126.72,False,O35739,
ALRT-68362-30,TAX_JURISDICTION_ERROR,closed,Felipe,2025-07-29T01:34:01.026140+00:00,2025-08-05T01:34:01.026140+00:00,critical,24,BR-RS,Home,ICMS,35671.29,True,O97553,INV-31465
ALRT-75077-31,MISSING_INVOICE,closed,Eva,2025-07-26T01:34:01.226931+00:00,2025-08-13T01:34:01.226931+00:00,medium,48,BR-MG,Beauty,IPI,40335.61,False,O24066,
ALRT-78145-32,TAX_JURISDICTION_ERROR,in_progress,Carla,2025-09-19T05:34:01.428039+00:00,,medium,48,BR-RJ,Games,IPI,5930.15,False,O82395,
ALRT-26847-33,WRONG_TAX_RATE,closed,Felipe,2025-09-03T20:34:01.628258+00:00,2025-09-29T20:34:01.628258+00:00,high,48,BR-PR,Books,PIS,22505.42,True,O34305,INV-96004
ALRT-21559-34,MISSING_INVOICE,in_progress,Carla,2025-09-11T05:34:01.828448+00:00,,medium,48,BR-MG,Home,COFINS,42125.02,True,O32061,INV-99346
ALRT-39774-35,INVOICE_AMOUNT_MISMATCH,in_progress,Carla,2025-07-26T16:34:02.029309+00:00,,low,24,BR-RS,Books,COFINS,25362.53,False,O87393,
ALRT-13873-36,TAX_JURISDICTION_ERROR,closed,Bruno,2025-10-29T14:34:02.229868+00:00,2025-11-02T14:34:02.229868+00:00,low,24,BR-RJ,Electronics,ISS,12445.27,True,O73951,INV-52251
ALRT-29331-37,TAX_JURISDICTION_ERROR,in_progress,Ana,2025-09-12T10:34:02.430551+00:00,,low,24,BR-RS,Electronics,COFINS,35308.45,False,O63954,
ALRT-33967-38,MISSING_INVOICE,in_progress,Carla,2025-09-30T21:34:02.631628+00:00,,high,168,BR-PR,Electronics,ICMS,13766.11,False,,
ALRT-70469-39,MISSING_INVOICE,closed,Bruno,2025-08-11T18:34:02.832604+00:00,2025-08-13T18:34:02.832604+00:00,medium,168,BR-RS,Home,ISS,37865.6,False,,
ALRT-85235-40,TAX_JURISDICTION_ERROR,in_progress,,2025-08-10T17:34:03.033256+00:00,,low,48,BR-PR,Electronics,ISS,39912.58,True,O96013,INV-20601
ALRT-28793-41,INVOICE_AMOUNT_MISMATCH,in_progress,Carla,2025-07-22T01:34:03.233778+00:00,,low,168,BR-SP,Books,PIS,15412.55,False,O88957,
ALRT-72824-42,TAX_JURISDICTION_ERROR,closed,Bruno,2025-08-20T06:34:03.434745+00:00,2025-08-31T06:34:03.434745+00:00,medium,168,BR-PR,Games,ICMS,45937.64,True,O78113,INV-42431
ALRT-78202-43,MISSING_INVOICE,closed,Eva,2025-08-30T00:34:03.635588+00:00,2025-09-09T00:34:03.635588+00:00,medium,72,BR-SP,Beauty,ICMS,47094.5,False,O93373,
ALRT-74892-44,TAX_JURISDICTION_ERROR,in_progress,Diego,2025-08-18T16:34:03.836388+00:00,,medium,168,BR-PR,Games,ICMS,27326.47,False,,
ALRT-65993-45,WRONG_TAX_RATE,in_progress,Carla,2025-10-16T09:34:04.036849+00:00,,medium,24,BR-RS,Beauty,PIS,18559.93,True,O73090,INV-27572
ALRT-94209-46,MISSING_INVOICE,closed,,2025-10-30T20:34:04.237868+00:00,2025-11-06T20:34:04.237868+00:00,low,48,BR-RS,Electronics,ISS,19272.61,True,,INV-77680
ALRT-90361-47,WRONG_TAX_RATE,in_progress,Diego,2025-07-28T06:34:04.438343+00:00,,medium,168,BR-MG,Games,ICMS,35378.23,True,O39939,INV-86300
ALRT-44212-48,INVOICE_AMOUNT_MISMATCH,closed,,2025-08-22T11:34:04.639169+00:00,2025-09-11T11:34:04.639169+00:00,low,168,BR-SP,Electronics,ICMS,7288.33,False,O35522,
ALRT-54808-49,WRONG_TAX_RATE,open,Ana,2025-08-11T08:34:04.839913+00:00,,low,168,BR-SP,Electronics,IPI,14484.04,True,O13291,INV-17156
ALRT-84117-50,INVOICE_AMOUNT_MISMATCH,open,,2025-07-28T23:34:05.040846+00:00,,low,24,BR-RS,Electronics,ICMS,34656.46,False,,
ALRT-43670-51,WRONG_TAX_RATE,open,Bruno,2025-09-13T05:34:05.241318+00:00,,high,72,BR-RS,Electronics,ISS,26950.52,True,,INV-49169
ALRT-48419-52,TAX_JURISDICTION_ERROR,closed,Carla,2025-09-29T04:34:05.441936+00:00,2025-10-29T04:34:05.441936+00:00,low,72,BR-MG,Beauty,PIS,39061.99,False,O84655,
ALRT-54972-53,INVOICE_AMOUNT_MISMATCH,in_progress,,2025-08-18T00:34:05.642644+00:00,,high,24,BR-SP,Beauty,PIS,7733.29,False,O39235,
ALRT-21220-54,INVOICE_AMOUNT_MISMATCH,in_progress,Diego,2025-09-30T18:34:05.843442+00:00,,medium,48,BR-PR,Beauty,ISS,22458.68,False,O15990,
ALRT-20769-55,WRONG_TAX_RATE,open,,2025-10-09T18:34:06.044252+00:00,,low,48,BR-RJ,Home,ISS,18704.74,False,O83214,
ALRT-85828-56,TAX_JURISDICTION_ERROR,open,Carla,2025-10-26T13:34:06.245158+00:00,,medium,168,BR-MG,Books,IPI,18163.19,True,O88537,INV-43314
ALRT-74822-57,MISSING_INVOICE,closed,Carla,2025-09-10T01:34:06.445710+00:00,2025-09-28T01:34:06.445710+00:00,medium,168,BR-PR,Books,PIS,44426.52,True,O35247,INV-48634
ALRT-83907-58,TAX_JURISDICTION_ERROR,in_progress,Bruno,2025-10-18T22:34:06.646440+00:00,,medium,72,BR-MG,Beauty,COFINS,33137.58,True,,INV-75587
ALRT-13300-59,TAX_JURISDICTION_ERROR,closed,Felipe,2025-07-31T04:34:06.847265+00:00,2025-08-27T04:34:06.847265+00:00,high,48,BR-PR,Beauty,COFINS,35315.85,False,O52843,
ALRT-60438-60,INVOICE_AMOUNT_MISMATCH,open,Bruno,2025-09-08T12:34:07.047896+00:00,,low,48,BR-SP,Games,ISS,3570.49,False,O40238,
ALRT-60082-61,WRONG_TAX_RATE,open,Felipe,2025-07-15T02:34:07.248425+00:00,,high,168,BR-RS,Games,ISS,16398.57,True,O68102,INV-88642
ALRT-90703-62,INVOICE_AMOUNT_MISMATCH,closed,Felipe,2025-09-29T08:34:07.449262+00:00,2025-10-26T08:34:07.449262+00:00,low,72,BR-RS,Books,PIS,3424.8,False,,
ALRT-94169-63,WRONG_TAX_RATE,in_progress,,2025-07-24T11:34:07.650475+00:00,,low,48,BR-PR,Games,ICMS,36590.28,False,O74769,
ALRT-69354-64,WRONG_TAX_RATE,closed,Diego,2025-07-17T18:34:07.851271+00:00,2025-08-11T18:34:07.851271+00:00,medium,24,BR-MG,Books,PIS,9302.22,True,O31962,INV-47230
ALRT-23383-65,INVOICE_AMOUNT_MISMATCH,open,Ana,2025-08-29T13:34:08.052373+00:00,,low,24,BR-RJ,Games,PIS,18516.92,True,O61591,INV-92621
ALRT-30468-66,TAX_JURISDICTION_ERROR,open,Carla,2025-09-26T10:34:08.253188+00:00,,low,168,BR-RJ,Books,ICMS,36871.66,True,,INV-93860
ALRT-67557-67,MISSING_INVOICE,open,Eva,2025-07-21T20:34:08.453390+00:00,,medium,24,BR-MG,Home,PIS,29761.33,True,O84436,INV-63780
ALRT-87385-68,INVOICE_AMOUNT_MISMATCH,in_progress,Carla,2025-10-19T07:34:08.654148+00:00,,low,48,BR-SP,Games,ICMS,14584.24,True,O69655,INV-86789
ALRT-79154-69,TAX_JURISDICTION_ERROR,open,Ana,2025-10-31T23:34:08.854619+00:00,,high,48,BR-RS,Beauty,ISS,28036.93,True,O78230,INV-83830
ALRT-68362-70,TAX_JURISDICTION_ERROR,closed,Diego,2025-10-07T11:34:09.054898+00:00,2025-10-12T11:34:09.054898+00:00,medium,72,BR-PR,Books,ISS,9823.85,True,O23957,INV-70152
ALRT-75077-71,MISSING_INVOICE,closed,Bruno,2025-08-29T13:34:09.255229+00:00,2025-09-10T13:34:09.255229+00:00,high,24,BR-PR,Electronics,PIS,15309.82,False,O34644,
ALRT-78145-72,TAX_JURISDICTION_ERROR,in_progress,Carla,2025-09-14T16:34:09.455843+00:00,,low,72,BR-PR,Games,IPI,22996.31,True,O63836,INV-37229
ALRT-26847-73,INVOICE_AMOUNT_MISMATCH,closed,Bruno,2025-07-18T14:34:09.656318+00:00,2025-07-29T14:34:09.656318+00:00,low,48,BR-RS,Games,IPI,24582.27,False,O74174,
ALRT-21559-74,MISSING_INVOICE,closed,,2025-11-03T05:34:09.856512+00:00,2025-11-12T05:34:09.856512+00:00,critical,24,BR-PR,Games,ICMS,3553.97,True,O62293,INV-61613
ALRT-39774-75,TAX_JURISDICTION_ERROR,open,Diego,2025-09-23T17:34:10.057227+00:00,,low,48,BR-MG,Home,PIS,40982.26,False,O55723,
ALRT-13873-76,MISSING_INVOICE,in_progress,Ana,2025-09-05T15:34:10.257866+00:00,,medium,168,BR-RJ,Home,ISS,43800.11,True,O53166,
ALRT-29331-77,INVOICE_AMOUNT_MISMATCH,in_progress,,2025-09-07T22:34:10.458601+00:00,,medium,72,BR-RS,Electronics,ISS,48205.73,True,,INV-72720
ALRT-33967-78,WRONG_TAX_RATE,open,Carla,2025-09-17T00:34:10.659082+00:00,,high,24,BR-SP,Home,IPI,16404.14,True,O88289,INV-44066
ALRT-70469-79,MISSING_INVOICE,in_progress,Carla,2025-10-22T00:34:10.859903+00:00,,critical,48,BR-RS,Home,COFINS,29311.54,False,O66586,
ALRT-85235-80,TAX_JURISDICTION_ERROR,in_progress,Carla,2025-08-17T17:34:11.060638+00:00,,low,168,BR-PR,Electronics,COFINS,30835.26,True,O63720,
ALRT-28793-81,INVOICE_AMOUNT_MISMATCH,closed,Diego,2025-08-27T00:34:11.261775+00:00,2025-09-17T00:34:11.261775+00:00,high,48,BR-PR,Games,ISS,14626.5,True,,
ALRT-72824-82,WRONG_TAX_RATE,in_progress,Carla,2025-09-26T22:34:11.462736+00:00,,low,168,BR-PR,Electronics,COFINS,20814.97,False,,
ALRT-78202-83,WRONG_TAX_RATE,in_progress,Diego,2025-10-18T02:34:11.663655+00:00,,low,72,BR-RJ,Games,ISS,5460.3,True,O11109,
ALRT-74892-84,WRONG_TAX_RATE,closed,Diego,2025-10-02T03:34:11.864223+00:00,2025-10-18T03:34:11.864223+00:00,critical,72,BR-RJ,Beauty,IPI,8943.35,False,O57081,
ALRT-65993-85,INVOICE_AMOUNT_MISMATCH,open,Carla,2025-10-19T06:34:12.065210+00:00,,low,24,BR-RJ,Books,PIS,23898.34,True,O66177,INV-93890
ALRT-94209-86,MISSING_INVOICE,closed,Carla,2025-09-17T22:34:12.265686+00:00,2025-10-07T22:34:12.265686+00:00,high,24,BR-RS,Electronics,PIS,29436.28,False,O60344,
ALRT-90361-87,TAX_JURISDICTION_ERROR,in_progress,Eva,2025-10-22T14:34:12.465949+00:00,,medium,168,BR-RJ,Books,ISS,45905.87,True,O82451,INV-23487
ALRT-44212-88,INVOICE_AMOUNT_MISMATCH,open,Bruno,2025-10-04T19:34:12.666865+00:00,,low,48,BR-RS,Home,PIS,41161.52,False,,
ALRT-54808-89,MISSING_INVOICE,closed,Eva,2025-07-28T18:34:12.867469+00:00,2025-08-16T18:34:12.867469+00:00,low,72,BR-RS,Beauty,COFINS,36254.85,False,O74203,
ALRT-84117-90,WRONG_TAX_RATE,closed,Bruno,2025-09-07T07:34:13.068089+00:00,2025-09-29T07:34:13.068089+00:00,medium,24,BR-RJ,Home,ICMS,10631.28,False,O56225,
ALRT-43670-91,WRONG_TAX_RATE,open,Eva,2025-08-14T22:34:13.268373+00:00,,low,168,BR-MG,Books,COFINS,49232.53,True,,INV-11262
ALRT-48419-92,MISSING_INVOICE,closed,Ana,2025-11-07T06:34:13.469463+00:00,2025-12-02T06:34:13.469463+00:00,high,24,BR-SP,Beauty,ISS,23210.9,False,,
ALRT-54972-93,WRONG_TAX_RATE,open,Bruno,2025-09-18T20:34:13.670601+00:00,,medium,168,BR-SP,Home,PIS,41562.29,True,,INV-68043
ALRT-21220-94,INVOICE_AMOUNT_MISMATCH,in_progress,Felipe,2025-08-25T15:34:13.871264+00:00,,low,24,BR-RS,Electronics,COFINS,17785.89,False,O78461,
ALRT-20769-95,WRONG_TAX_RATE,closed,Felipe,2025-09-02T10:34:14.072510+00:00,2025-09-24T10:34:14.072510+00:00,critical,24,BR-RS,Electronics,PIS,8725.24,True,O81984,INV-18230
ALRT-85828-96,TAX_JURISDICTION_ERROR,open,Carla,2025-11-04T14:34:14.273067+00:00,,low,48,BR-RJ,Beauty,PIS,2512.3,True,O13925,INV-54364
ALRT-74822-97,TAX_JURISDICTION_ERROR,in_progress,Ana,2025-07-19T10:34:14.473379+00:00,,medium,72,BR-SP,Home,PIS,4963.46,True,,INV-80793
ALRT-83907-98,INVOICE_AMOUNT_MISMATCH,open,Felipe,2025-09-11T23:34:14.674272+00:00,,low,24,BR-RS,Beauty,ISS,36410.61,True,O60956,INV-48368
ALRT-13300-99,TAX_JURISDICTION_ERROR,in_progress,Ana,2025-08-25T20:34:14.874904+00:00,,critical,48,BR-RS,Home,ICMS,34633.27,True,,
ALRT-60438-100,TAX_JURISDICTION_ERROR,open,Bruno,2025-08-16T23:34:15.076195+00:00,,medium,168,BR-RJ,Home,IPI,6602.68,False,,
ALRT-60082-101,INVOICE_AMOUNT_MISMATCH,open,Bruno,2025-08-10T17:34:15.276913+00:00,,medium,24,BR-SP,Games,IPI,49460.96,True,O34828,INV-56920
ALRT-90703-102,TAX_JURISDICTION_ERROR,in_progress,Carla,2025-09-09T11:34:15.477338+00:00,,critical,168,BR-RS,Books,ISS,10015.94,True,,INV-65032
ALRT-94169-103,TAX_JURISDICTION_ERROR,in_progress,Felipe,2025-08-21T22:34:15.678239+00:00,,low,48,BR-RJ,Beauty,ISS,18257.79,True,O36853,
ALRT-69354-104,TAX_JURISDICTION_ERROR,open,Bruno,2025-07-21T02:34:15.879452+00:00,,medium,48,BR-RS,Books,COFINS,33799.37,True,,
ALRT-23383-105,MISSING_INVOICE,in_progress,Diego,2025-07-23T00:34:16.080151+00:00,,low,72,BR-RS,Games,ICMS,11303.29,True,,INV-82935
ALRT-30468-106,INVOICE_AMOUNT_MISMATCH,in_progress,Bruno,2025-09-17T14:34:16.281066+00:00,,medium,72,BR-RS,Electronics,IPI,44628.49,True,O17639,INV-78861
ALRT-67557-107,WRONG_TAX_RATE,open,Felipe,2025-09-18T06:34:16.482114+00:00,,low,48,BR-SP,Books,PIS,28996.8,True,O46216,
ALRT-87385-108,TAX_JURISDICTION_ERROR,open,Bruno,2025-09-13T16:34:16.682562+00:00,,medium,168,BR-RS,Beauty,ICMS,29459.75,True,,INV-25366
ALRT-79154-109,MISSING_INVOICE,in_progress,Diego,2025-07-21T19:34:16.883221+00:00,,critical,168,BR-SP,Beauty,IPI,48689.6,True,O90990,
ALRT-68362-110,WRONG_TAX_RATE,open,Ana,2025-09-04T14:34:17.083584+00:00,,high,72,BR-MG,Electronics,ISS,652.0,True,O74054,
ALRT-75077-111,INVOICE_AMOUNT_MISMATCH,in_progress,Eva,2025-09-13T01:34:17.284013+00:00,,low,168,BR-RS,Beauty,ICMS,31736.29,True,O70826,INV-21358
ALRT-78145-112,INVOICE_AMOUNT_MISMATCH,in_progress,Carla,2025-08-10T01:34:17.484705+00:00,,low,24,BR-RS,Books,PIS,19228.54,True,O46161,INV-65886
ALRT-26847-113,WRONG_TAX_RATE,closed,Bruno,2025-09-06T19:34:17.685266+00:00,2025-09-15T19:34:17.685266+00:00,high,72,BR-RS,Games,PIS,10890.56,False,O36478,
ALRT-21559-114,WRONG_TAX_RATE,in_progress,Carla,2025-09-30T08:34:17.886346+00:00,,medium,24,BR-PR,Games,COFINS,48319.26,True,,INV-20128
ALRT-39774-115,MISSING_INVOICE,closed,Carla,2025-10-09T21:34:18.086654+00:00,2025-10-30T21:34:18.086654+00:00,medium,48,BR-PR,Beauty,IPI,25166.31,True,O89676,
ALRT-13873-116,WRONG_TAX_RATE,closed,Diego,2025-09-19T04:34:18.287569+00:00,2025-09-26T04:34:18.287569+00:00,medium,72,BR-RS,Home,COFINS,25347.17,True,O56084,INV-92572
ALRT-29331-117,INVOICE_AMOUNT_MISMATCH,closed,Bruno,2025-09-11T19:34:18.488225+00:00,2025-09-16T19:34:18.488225+00:00,high,24,BR-RS,Beauty,ISS,42289.01,True,,INV-23938
ALRT-33967-118,MISSING_INVOICE,closed,Eva,2025-11-05T20:34:18.689826+00:00,2025-11-11T20:34:18.689826+00:00,low,48,BR-SP,Electronics,PIS,30063.83,True,O61524,INV-66002
ALRT-70469-119,TAX_JURISDICTION_ERROR,open,Diego,2025-07-20T06:34:18.891007+00:00,,high,72,BR-SP,Beauty,ICMS,48857.16,True,,
